"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 03 14:14:52 IST 2024","Wed Jan 03 14:14:53 IST 2024","759","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Wed Jan 03 14:16:42 IST 2024","Wed Jan 03 14:16:42 IST 2024","443","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Wed Jan 03 14:16:42 IST 2024","Wed Jan 03 14:16:43 IST 2024","482","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed Jan 03 14:14:46 IST 2024","Wed Jan 03 14:14:50 IST 2024","3493","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed Jan 03 14:14:50 IST 2024","Wed Jan 03 14:14:51 IST 2024","831","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Wed Jan 03 14:15:18 IST 2024","Wed Jan 03 14:15:19 IST 2024","527","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Wed Jan 03 14:16:41 IST 2024","Wed Jan 03 14:16:41 IST 2024","543","","Traversal","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Wed Jan 03 14:14:32 IST 2024","Wed Jan 03 14:14:32 IST 2024","835","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Wed Jan 03 14:14:51 IST 2024","Wed Jan 03 14:14:52 IST 2024","633","","Cypress.config()","","","","Get and set configuration options",""
"passed","Wed Jan 03 14:16:23 IST 2024","Wed Jan 03 14:16:32 IST 2024","9410","","Traversal","","","",".children() - get child DOM elements",""
"passed","Wed Jan 03 14:15:14 IST 2024","Wed Jan 03 14:15:15 IST 2024","534","","Location","","","","cy.location() - get window.location",""
"passed","Wed Jan 03 14:15:42 IST 2024","Wed Jan 03 14:15:42 IST 2024","609","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Wed Jan 03 14:15:08 IST 2024","Wed Jan 03 14:15:18 IST 2024","9471","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Wed Jan 03 14:14:39 IST 2024","Wed Jan 03 14:14:40 IST 2024","1635","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Wed Jan 03 14:16:28 IST 2024","Wed Jan 03 14:16:29 IST 2024","898","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed Jan 03 14:15:38 IST 2024","Wed Jan 03 14:15:39 IST 2024","650","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Wed Jan 03 14:15:21 IST 2024","Wed Jan 03 14:15:24 IST 2024","3439","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Wed Jan 03 14:14:49 IST 2024","Wed Jan 03 14:14:50 IST 2024","474","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed Jan 03 14:14:23 IST 2024","Wed Jan 03 14:14:26 IST 2024","3351","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Wed Jan 03 14:16:36 IST 2024","Wed Jan 03 14:16:37 IST 2024","787","","Traversal","","","",".first() - get first DOM element",""
"passed","Wed Jan 03 14:16:08 IST 2024","Wed Jan 03 14:16:09 IST 2024","1758","","Navigation","","","","cy.visit() - visit a remote url",""
